ID,Pred
2014_3103_3107,0.00019819485903051939
2014_3103_3113,0.00019819485903051939
2014_3103_3119,0.00019819485903051939
2014_3103_3124,0.00039596898436357125
2014_3103_3140,0.00019819485903051939
2014_3103_3143,0.0003862298035528511
2014_3103_3151,0.00019819485903051939
2014_3103_3163,0.0003862298035528511
2014_3103_3169,0.00019819485903051939
2014_3103_3173,0.00039622386775674435
2014_3103_3177,0.00019819485903051939
2014_3103_3181,0.0003862298035528511
2014_3103_3195,0.00019819485903051939
2014_3103_3196,0.0003862298035528511
2014_3103_3199,0.0003961016326884153
2014_3103_3200,0.0003862298035528511
2014_3103_3201,0.00019819485903051939
2014_3103_3208,0.00019819485903051939
2014_3103_3210,0.00019819485903051939
2014_3103_3211,0.0003959744427184004
2014_3103_3214,0.00039622856605273056
2014_3103_3225,0.00039622811859623807
2014_3103_3234,0.000396154232383455
2014_3103_3235,0.0003862298035528511
2014_3103_3241,0.0003862298035528511
2014_3103_3246,0.0003862298035528511
2014_3103_3257,0.9995973706245422
2014_3103_3261,0.0003862298035528511
2014_3103_3265,0.0003862298035528511
2014_3103_3268,0.0003862298035528511
2014_3103_3277,0.0003862298035528511
2014_3103_3292,0.0003962252846925412
2014_3103_3301,0.0003862298035528511
2014_3103_3304,0.0003862298035528511
2014_3103_3314,0.0003862298035528511
2014_3103_3315,0.00019819485903051939
2014_3103_3322,0.00039623168387183506
2014_3103_3323,0.0003862298035528511
2014_3103_3328,0.0003862298035528511
2014_3103_3329,0.0003862298035528511
2014_3103_3333,0.0003862298035528511
2014_3103_3335,0.00019819485903051939
2014_3103_3336,0.0003862298035528511
2014_3103_3341,0.0003862298035528511
2014_3103_3345,0.0003862298035528511
2014_3103_3352,0.0003862298035528511
2014_3103_3376,0.0003862298035528511
2014_3103_3377,0.00019819485903051939
2014_3103_3385,0.0003961995238051081
2014_3103_3386,0.0003862298035528511
2014_3103_3390,0.0003862298035528511
2014_3103_3393,0.0003862298035528511
2014_3103_3397,0.0003862298035528511
2014_3103_3400,0.0003862298035528511
2014_3103_3401,0.0003862298035528511
2014_3103_3404,0.0003862298035528511
2014_3103_3425,0.0003862298035528511
2014_3103_3435,0.0003862298035528511
2014_3103_3443,0.0003862298035528511
2014_3103_3452,0.0003862298035528511
2014_3103_3455,0.0003862298035528511
2014_3103_3457,0.0003862298035528511
2014_3103_3460,0.0003862298035528511
2014_3107_3113,0.0002398624726026226
2014_3107_3119,0.0002398624726026226
2014_3107_3124,0.0004792157583097048
2014_3107_3140,0.0002398624726026226
2014_3107_3143,0.0003862298035528511
2014_3107_3151,0.0002398624726026226
2014_3107_3163,0.9995973706245422
2014_3107_3169,0.0002398624726026226
2014_3107_3173,0.00047952422726400015
2014_3107_3177,0.0002398624726026226
2014_3107_3181,0.0003862298035528511
2014_3107_3195,0.0002398624726026226
2014_3107_3196,0.0003862298035528511
2014_3107_3199,0.0004793762940336854
2014_3107_3200,0.0003862298035528511
2014_3107_3201,0.0002398624726026226
2014_3107_3208,0.0002398624726026226
2014_3107_3210,0.0002398624726026226
2014_3107_3211,0.0004792223642049943
2014_3107_3214,0.0004795299133090256
2014_3107_3225,0.00047952937178125245
2014_3107_3234,0.00047943995205676477
2014_3107_3235,0.0003862298035528511
2014_3107_3241,0.0003862298035528511
2014_3107_3246,0.0003862298035528511
2014_3107_3257,0.9995973706245422
2014_3107_3261,0.0003862298035528511
2014_3107_3265,0.0003862298035528511
2014_3107_3268,0.9995973706245422
